3.2.1,On Focus,A,https://alphagov.github.io/wcag-primer/content.html#3-1-1-language-of-page-a,,design,code,3.2.1,2.0,https://www.w3.org/TR/WCAG21/#on-focus
3.2.2,On Input,A,https://alphagov.github.io/wcag-primer/content.html#3-1-2-language-of-parts-aa,,design,code,3.2.2,2.0,https://www.w3.org/TR/WCAG21/#on-input
3.2.3,Consistent navigation,AA,https://alphagov.github.io/wcag-primer/content.html#3-2-4-consistent-identification-aa,,design,,3.2.3,2.0,https://www.w3.org/TR/WCAG21/#consistent-navigation
3.2.4,Consistent identification,AA,https://alphagov.github.io/wcag-primer/content.html#3-3-1-error-identification-a,content,design,code,3.2.4,2.0,https://www.w3.org/TR/WCAG21/#consistent-identification
3.2.5,,,https://alphagov.github.io/wcag-primer/content.html#3-3-2-labels-or-instructions-a,,,,3.2.5,2.1,https://www.w3.org/TR/WCAG21/#change-on-request
3.3.1,Error identification,A,https://alphagov.github.io/wcag-primer/content.html#3-3-3-error-suggestion-aa,content,design,code,3.3.1,2.0,https://www.w3.org/TR/WCAG21/#error-identification
3.3.2,Labels or instructions,A,https://alphagov.github.io/wcag-primer/content.html#3-3-4-error-prevention-legal-financial-data-aa,content,design,code,3.3.2,2.0,https://www.w3.org/TR/WCAG21/#labels-or-instructions
3.3.3,Error suggestion,AA,https://alphagov.github.io/wcag-primer/content.html#4-1-3-status-messages-aa,content,design,code,3.3.3,2.0,https://www.w3.org/TR/WCAG21/#error-suggestion
3.3.4,Error prevention (legal/financial/data),AA,https://alphagov.github.io/wcag-primer/design.html#1-3-4-orientation-a,content,design,code,3.3.4,2.0,https://www.w3.org/TR/WCAG21/#error-prevention-legal-financial-data
3.3.5,,,https://alphagov.github.io/wcag-primer/design.html#1-4-1-use-of-colour-a,,,,3.3.5,2.1,https://www.w3.org/TR/WCAG21/#help
3.3.6,,,https://alphagov.github.io/wcag-primer/design.html#1-4-2-audio-control-a,,,,3.3.6,2.1,https://www.w3.org/TR/WCAG21/#error-prevention-all
4.1.1,Parsing,A,https://alphagov.github.io/wcag-primer/design.html#1-4-3-contrast-minimum-aa,,,code,4.1.1,2.0,https://www.w3.org/TR/WCAG21/#parsing
4.1.2,"Name, role, value",A,https://alphagov.github.io/wcag-primer/design.html#1-4-4-resize-text-aa,,,code,4.1.2,2.0,https://www.w3.org/TR/WCAG21/#name-role-value
4.1.3,Status Messages,AA,https://alphagov.github.io/wcag-primer/design.html#1-4-5-images-of-text-aa,content,design,code,4.1.3,2.0,https://www.w3.org/TR/WCAG21/#status-messages
,,,https://alphagov.github.io/wcag-primer/design.html#1-4-10-reflow-aa,,,,,,
